id,zipcode,road,house_number,grade,condition,price_to_sell,total_expected_cost,profit
3244500078,98072,Northeast Woodinville Duvall Road,14914,9,3,1344751.099001031,752573.0913210217,592178.0076800092
9828702890,98112,23rd Avenue East,222,8,4,1456892.1328562314,832011.8059449808,624880.3269112506
2596400050,98177,6th Avenue Northwest,18521,7,4,555072.0322519973,413272.48051429196,141799.5517377053
7575610170,98003,25th Drive South,27555,8,3,360712.842855883,263311.9992439735,97400.84361190948
3080000005,98144,South Lander Street,2010,7,3,444688.52744540817,223375.65221635357,221312.8752290546
6820100010,98115,15th Avenue Northeast,7502,7,4,603960.6341319714,452127.0653557714,151833.5687762
3578401060,98074,220th Place Northeast,1525,8,4,553030.9011121131,382685.8669643544,170345.03414775874
2926049408,98125,12th Avenue Northeast,1115,8,3,898784.1271417508,494534.25385197677,404249.873289774
6381502155,98125,20th Avenue Northeast,13600,7,3,471450.84030983393,347479.25685250654,123971.58345732739
6071200545,98006,Southeast 52nd Street,5211,8,4,796664.4320755347,595062.3483885863,201602.0836869484
7942600006,98122,East Cherry Street,1915,7,3,620768.9093982647,393093.03388536355,227675.87551290117
5561200980,98027,Southeast 157th Street,25631,8,3,665062.4606549216,471555.46818975336,193506.99246516824
3039000020,98033,107th Place Northeast,10725,7,4,658073.1749442394,488941.654264829,169131.52067941043
1266200130,98004,112th Avenue Northeast,11056,7,3,969057.2422695892,724319.9996896614,244737.24257992778
7292700005,98177,3rd Avenue Northwest,228,8,4,812580.0595247719,545790.7273450203,266789.3321797516
1133000050,98125,20th Avenue Northeast,12527,7,3,594232.9734890648,433997.41829327034,160235.5551957945
1931300425,98103,Aurora Avenue North,3908,7,5,795116.5677432554,570430.3356026084,224686.23214064701
4443801495,98117,25th Avenue Northwest,7557,7,4,759763.3119931488,515558.6978808561,244204.61411229265
2071700010,98133,North 159th Street,2150,7,3,602796.5607886404,417725.98187456146,185070.57891407894
8651510380,98074,Northeast 44th Street,20916,8,3,592726.595655874,374652.53881077335,218074.05684510065
9826701794,98122,East Alder Street,2219,8,3,635811.9818629924,442442.8964191229,193369.08544386952
507100005,98133,North 204th Place,1818,7,3,687261.8891426539,352897.37386199576,334364.51528065815
3226049466,98115,1st Avenue Northeast,9014,7,3,696775.3559696464,402046.21964736254,294729.1363222838
4443800130,98117,Earl Avenue Northwest,8025,7,3,620009.7387813928,367824.6295964093,252185.10918498354
1430800279,98166,Southwest 144th Place,1416,8,4,718496.9067535937,524283.53084882547,194213.37590476824
2872900280,98074,Northeast 19th Place,1915,8,4,956904.6436643573,601377.5929159515,355527.05074840575
1338801060,98112,23rd Avenue East,814,8,3,847651.5820265,623447.3884525566,224204.19357394346
5116000250,98028,Northeast 204th Street,5608,7,3,548924.3898371458,387514.18879458006,161410.20104256575
526059224,98011,100th Avenue Northeast,19820,7,3,427835.09298643447,310597.28417071514,117237.80881571933
3336001470,98118,Wabash Avenue South,8659,7,5,549577.9441808058,335441.1831237969,214136.76105700893
5101404698,98115,Northeast 94th Street,840,7,3,565482.1014836248,407137.9531471561,158344.14833646867
4006000571,98118,38th Avenue South,8310,7,3,356168.94734648074,232842.2951122761,123326.65223420464
9310300300,98133,Linden Avenue North,15027,8,4,636009.508584774,463193.3826902802,172816.12589449377
3288301050,98034,Northeast 145th Street,11736,8,4,813684.6614812528,539962.1609431063,273722.5005381465
626049058,98133,North 202nd Street,20042,7,3,637779.6084307912,353208.1641690466,284571.44426174456
3904100220,98118,South Kenyon Street,4452,7,5,415978.51371351985,294784.0212879839,121194.49242553592
9459200110,98118,Martin Luther King Junior Way South,5237,7,4,777413.6341299922,354953.9536617299,422459.68046826235
6071800410,98006,127th Avenue Southeast,6209,8,4,747081.8978676748,545834.6762872211,201247.22158045368
257000037,98168,South 122nd Street,2625,7,3,426284.2401249871,262416.8432326247,163867.3968923624
2205500540,98006,Southeast Eastgate Drive,14732,7,4,585420.7161441365,402008.14028302685,183412.57586110965
603001050,98118,39th Avenue South,8829,7,3,418624.5929362746,274855.1354216618,143769.45751461282
5379804470,98188,Military Road South,17104,7,4,329996.14560455893,203002.13709869573,126994.0085058632
6046400755,98103,Aurora Avenue North,8601,7,5,763923.5429097788,504756.5496691054,259166.9932406734
9268200315,98117,7th Avenue Northwest,9209,7,5,776261.3383335166,484997.6417590038,291263.6965745128
7227800025,98056,Jefferson Avenue Northeast,2012,7,3,482612.02737389086,318141.32283085166,164470.7045430392
4038000040,98008,Northeast 3rd Place,16226,7,4,546623.053350759,287415.3647123659,259207.68863839307
6072760210,98006,Southeast 46th Court,12315,8,4,837525.0023019941,491695.3199133419,345829.68238865223
5127001320,98059,143rd Place Southeast,14431,7,4,304300.2710277514,217030.87254458276,87269.39848316862
2523069146,98027,Tiger Mountain Road Southeast,16729,7,5,614818.3019491284,379241.7157749317,235576.58617419668
7883603425,98108,South Rose Street,754,7,2,322580.25031681336,206636.62104265307,115943.62927416028
3750603940,98001,43rd Avenue South,37637,7,5,350845.20028135076,260131.86707390836,90713.3332074424
5282200015,98115,14th Avenue Northeast,7550,7,5,796903.1366219001,560405.3931730599,236497.74344884022
8728100775,98144,South Norman Street,2001,8,3,331958.8607803237,225464.5243803868,106494.33639993687
1556200265,98122,30th Avenue,541,8,4,1004877.9451015226,610267.544059132,394610.4010423906
8146300015,98004,111th Avenue Southeast,233,7,3,1018206.3216261868,761109.5154741498,257096.806152037
1105000229,98118,South Morgan Street,4811,7,3,466365.3217627373,348008.7988830175,118356.52287971979
9165100230,98117,Earl Avenue Northwest,7301,8,3,896412.0967673752,648046.913340115,248365.18342726026
424059100,98005,121st Avenue Southeast,2318,8,3,920674.4189133116,544726.8733911795,375947.5455221321
7518505070,98117,21st Avenue Northwest,6530,7,5,708492.4325307257,430457.29872114526,278035.13380958047
1787600165,98125,3rd Avenue Northeast,13040,8,3,659252.1822795343,470620.2067958702,188631.97548366408
4047200135,98019,324th Avenue Northeast,20020,9,3,681977.914275922,375724.5741397944,306253.3401361276
1923800135,98103,Fremont Avenue North,7719,7,4,974523.2010277846,543710.7427535835,430812.45827420114
955000060,98112,23rd Avenue East,221,7,3,692161.6662322443,519657.98903287714,172503.6771993672
2205500335,98006,Southeast 37th Street,14429,7,4,627615.5184265443,459524.01882595744,168091.49960058683
9238900390,98136,46th Avenue Southwest,7749,8,3,718647.7611880082,522000.6167449482,196647.14444306004
1682000350,98092,Southeast 323rd Place,11624,7,4,241464.11220195526,172307.52551424105,69156.58668771421
5015000700,98112,East Aloha Street,2640,7,4,1025954.4880286455,618175.5760706015,407778.91195804405
6888900060,98118,Renton Avenue South,5205,7,3,662480.8626356773,404979.3522133492,257501.51042232814
3243200310,98059,163rd Avenue Southeast,12840,7,4,487451.1655324833,339024.51811118214,148426.64742130117
3876310860,98034,130th Place Northeast,14314,7,3,580334.6061753349,420445.958691682,159888.64748365287
1118001631,98112,Windermere Drive East,1609,9,3,1900434.8553344707,1340063.9957320238,560370.8596024469
6141100320,98133,Phinney Avenue North,12226,7,3,506553.85645212163,293466.1672554945,213087.68919662712
1924069105,98027,Southeast 51st Street,4888,8,3,839318.1818839541,547066.9653075631,292251.216576391
3995700435,98155,25th Avenue Northeast,15022,7,4,434603.6481646683,300470.769550458,134132.8786142103
685000160,98004,Northeast 24th Street,10201,7,4,1119994.6641668673,827741.0444635042,292253.61970336305
1562100340,98007,Northeast 13th Street,15049,8,3,575569.3936138665,360551.8314558912,215017.56215797534
5101402435,98115,Ravenna Avenue Northeast,9014,7,5,532438.2734618278,333636.7307286984,198801.54273312935
2887701940,98115,15th Avenue Northeast,7724,7,3,920653.5991826683,556286.5441788359,364367.0550038323
3179101070,98105,Princeton Avenue Northeast,5720,9,4,1598034.9075145356,957285.2791528052,640749.6283617304
4099100260,98033,117th Drive Northeast,6908,9,3,1027509.5424846802,684722.7173381783,342786.8251465019
1923300135,98103,North 80th Street,511,7,4,766138.0309176486,405803.20389327063,360334.82702437794
6821101275,98199,34th Avenue West,3629,7,4,909415.6236578518,523713.69593381486,385701.92772403697
6071000310,98006,Southeast 49th Place,4849,8,5,1000763.7006183304,663520.0371989849,337243.6634193455
9133600135,98055,Stevens Avenue Northwest,360,7,3,298179.28395120625,211658.72312897534,86520.56082223091
2493200370,98136,41st Avenue Southwest,8445,7,3,628382.7587167785,467286.88273305236,161095.87598372612
2832100270,98125,Par Place Northeast,13904,7,3,547614.696374884,367313.90138987254,180300.79498501145
4449800681,98117,24th Avenue Northwest,8309,8,4,799212.6248691357,496115.25855325186,303097.3663158838
3298701070,98106,14th Avenue Southwest,9449,7,3,300818.3173829381,213805.6495570417,87012.66782589641
1924059248,98040,East Mercer Way,5001,9,3,1404663.6123289387,1012986.2593109077,391677.353018031
4140900270,98028,Tolt Pipeline Trail,18555,8,3,294604.3775189607,194937.46534989818,99666.9121690625
8099600160,98033,107th Place Northeast,10805,7,4,743995.1586493659,527344.3533296367,216650.80531972914
7905200230,98116,46th Avenue Southwest,3639,7,5,879397.2478359871,363200.22988455574,516197.0179514314
7663700772,98125,30th Avenue Northeast,14015,7,4,635152.7084029315,410768.33771446155,224384.3706884699
6326000205,98146,28th Avenue Southwest,11810,8,3,559646.9447825799,360766.18827843416,198880.75650414574
13001215,98108,2nd Avenue South,8853,7,4,271440.4745272543,150637.29073207235,120803.18379518195
9238500040,98072,Northeast 202nd Street,15351,7,3,686210.3954696587,489312.8203688629,196897.57510079577
1523049207,98168,South 142nd Street,3504,7,3,287445.7524846609,209911.41655017788,77534.33593448301
9144100035,98117,Mary Avenue Northwest,9547,7,3,663210.7710828049,406297.5585287389,256913.21255406598
6381500720,98125,22nd Avenue Northeast,14044,7,3,631163.076806999,464746.124632947,166416.95217405207
4073200124,98115,Sand Point Way Northeast,9717,7,3,450358.2926522421,336902.18420169706,113456.10845054506
2457200040,98056,Index Court Northeast,841,7,4,423357.2201466876,313468.86941808043,109888.35072860715
9808590210,98004,112th Avenue Northeast,3883,10,3,1503947.8931955702,981364.260623107,522583.63257246325
3726800220,98144,Beacon Avenue South,3427,7,3,723315.2879516373,409341.24968898436,313974.03826265293
686550040,98004,,1037,10,3,1869688.0577702112,1375603.3791511743,494084.6786190369
3185600040,98055,Hardie Avenue Northwest,309,7,3,347356.182132409,222601.11367678057,124755.06845562844
7129800063,98118,Lindsay Place South,9702,7,4,528558.3506147513,373555.1567349098,155003.19387984154
2122700120,98118,Renton Avenue South,9071,7,3,508346.369923042,301914.5120823839,206431.8578406581
427000065,98118,45th Avenue South,7109,8,5,797382.1588010751,583710.8006948226,213671.3581062525
5637200450,98059,Lyons Avenue Northeast,402,9,3,608684.2484540885,343677.6390995358,265006.60935455264
8645500360,98058,Ferndale Avenue Southeast,1502,7,3,360054.4093594053,249705.63905654752,110348.77030285777
1219000043,98166,Southwest 156th Street,443,7,4,512802.6929426243,357272.7257807951,155529.96716182918
7508700085,98125,14th Place Northeast,13010,8,3,689423.2131624373,475375.3661284112,214047.8470340261
5056500210,98006,Southeast 65th Place,12232,8,4,910178.8301032479,598580.6256871682,311598.2044160797
4318200360,98136,Gatewood Road Southwest,7446,7,3,434685.62892021437,324636.55674732453,110049.07217288984
3031200230,98118,35th Avenue South,7315,7,3,678604.0156571298,426796.03600879974,251807.97964833007
7011201445,98119,11th Avenue West,1926B,7,4,779246.9941030642,562140.6911781643,217106.30292489985
1326049170,98028,74th Avenue Northeast,15822,7,3,624120.785535246,336483.80101424013,287636.9845210059
8024201714,98115,15th Avenue Northeast,9808,7,3,780138.304270683,558093.1081036843,222045.1961669987
1326069151,98019,Northeast Kennedy Drive,26628,7,4,514557.71748283785,300137.5054981396,214420.21198469825
1931300870,98103,Linden Avenue North,4036,7,4,571241.1422599761,384242.5796944595,186998.56256551662
1025059186,98052,Northeast 75th Street,7517,7,4,724546.5077370146,480239.2568464773,244307.25089053728
324000530,98116,Southwest Manning Street,4203,7,3,456226.9150261364,244370.42006154888,211856.4949645875
1823049242,98146,Southwest 130th Street,650,7,3,415007.06318993965,301634.00891098875,113373.0542789509
2436200715,98105,Northeast 45th Place,3310,7,3,752668.656509788,541671.2507107055,210997.40579908248
461002890,98117,Mary Avenue Northwest,7043,7,4,738265.5972293344,539489.757683816,198775.8395455184
2926049376,98125,Northeast 105th Street,1266,7,3,357246.9656210483,254235.98069404202,103010.98492700627
7228500415,98122,23rd Avenue,929,8,3,922786.7186678526,562933.7195960248,359852.99907182774
6664000130,98004,109th Avenue Southeast,2222,8,5,908221.5210746626,669327.3964785679,238894.1245960947
644210020,98004,Bellevue Way Southeast,11038,8,4,1311296.3532853234,848547.9439199917,462748.40936533164
7148700050,98155,13th Avenue Northeast,17010,7,3,652019.2557474056,420524.17576869554,231495.07997871004
2917200675,98103,Fremont Avenue North,700,7,4,548155.4149562977,371879.95566908224,176275.4592872155
8732130680,98023,37th Court Southwest,33021,7,4,329949.8668533678,245988.86573692074,83961.00111644709
3438503214,98106,Southwest Myrtle Street,1613,7,3,413059.23722181085,307095.31333565805,105963.9238861528
3010300415,98116,45th Avenue Southwest,4039,8,4,705708.4759372039,428781.4591206813,276927.0168165226
9310300185,98133,Linden Avenue North,15422,7,4,360942.7757067356,248702.67605584144,112240.09965089418
9335400005,98166,Southwest 156th Place,1620,7,3,485340.86543617205,355909.49407015956,129431.37136601249
13001795,98108,South Henderson Street,154,7,4,619739.8939626844,366463.8193912163,253276.0745714681
2044500213,98125,12th Avenue Northeast,11750,7,3,515672.783124766,367990.60391162004,147682.17921314598
1525069088,98053,Northeast 43rd Street,24126,8,3,1201368.820796438,574661.2082587252,626707.6125377128
5561000420,98027,Southeast 158th Street,26044,8,4,899519.6234982248,554924.4714354627,344595.15206276206
1035000007,98118,51st Avenue South,9682,7,3,421021.98025855393,264993.09022742964,156028.8900311243
5101404555,98115,Northeast 94th Street,1012,7,3,463075.41023186804,325448.53120686923,137626.8790249988
1725059252,98033,116th Avenue Northeast,5625,8,3,1010529.1510145696,641079.709399306,369449.4416152636
5652600427,98115,Northeast 95th Street,3019,7,4,723657.2441384301,458282.781368907,265374.4627695231
3512100050,98030,115th Avenue Southeast,25404,7,4,250346.89259983698,163404.00135159658,86942.8912482404
1233100351,98033,Northeast 80th Street,12228,7,2,501288.6863102272,356800.65786051477,144488.02844971244
7905380080,98034,95th Avenue Northeast,13454,7,3,582845.8642707474,408316.8640716857,174529.0001990617
4037000185,98008,Southeast 9th Street,16434,7,4,686730.5540510137,437395.22226907127,249335.3317819424
5561400470,98027,252nd Avenue Southeast,15912,9,4,922115.9615625351,650670.8694328131,271445.092129722
7625703260,98136,42nd Avenue Southwest,6057,7,3,833075.0312649399,476953.25468256377,356121.77658237616
6431500122,98103,Dayton Avenue North,8715,7,5,856644.4769639117,548716.917858242,307927.5591056696
126039413,98177,Northwest 195th Street,324,8,3,760988.3727730414,552822.374050234,208165.9987228074
9523102040,98103,Woodland Place North,6407,7,3,908659.3072511299,516078.4688842737,392580.83836685616
3888100029,98033,130th Avenue Northeast,9719,7,5,992245.8963893126,510462.99701817555,481782.899371137
7625701045,98136,45th Avenue Southwest,5411,7,3,571270.4924775664,410077.67831802886,161192.8141595375
1545806720,98038,221st Place Southeast,26020,7,5,402945.2940053168,278212.7030681117,124732.59093720512
9421500130,98125,30th Avenue Northeast,13323,8,4,630768.1460889961,428725.4012808689,202042.74480812717
2425700022,98004,Bellefield Park Lane,1355,7,2,1078951.6406578922,509746.0812378157,569205.5594200764
1180002745,98178,South 117th Street,8723,7,3,522042.81247825496,355986.3483240434,166056.46415421157
6885900415,98133,Ashworth Avenue North,15545,7,5,528491.1225684737,316306.219953938,212184.9026145357
7015201015,98119,West Barrett Street,822,9,4,1261901.0992399566,946646.581034039,315254.51820591756
2215900930,98038,Southeast 278th Way,21235,7,4,362874.3049814148,259780.0780376097,103094.22694380512
1951800580,98006,129th Place Southeast,12909,8,5,1247238.5747088934,641312.4605208867,605926.1141880067
2600100300,98006,Southeast 57th Street,13311,8,4,994335.8415906137,684348.0233784029,309987.8182122108
2351800065,98199,37th Avenue West,3323,8,3,923616.3881607021,664375.5885773747,259240.79958332737
3500100208,98155,25th Avenue Northeast,14526,7,3,461017.280684939,336755.2286883837,124262.0519965553
8072000035,98118,Martin Luther King Junior Way South,9201,7,2,370347.59514539933,250843.3835540534,119504.21159134593
2227900040,98133,North 200th Street,911,8,3,501998.8037517072,358208.3737567858,143790.42999492137
4036400110,98155,37th Avenue Northeast,15032,8,3,541625.3373432172,370387.7345222075,171237.6028210097
8074400035,98056,Lynnwood Avenue Northeast,851,7,4,556422.8356711646,360634.1611670944,195788.67450407014
7625701386,98136,Southwest Brandon Street,4319,7,3,723302.4788834308,499411.61136455205,223890.86751887877
984000410,98058,129th Place Southeast,18813,7,4,481064.3806072357,264570.0828727519,216494.2977344838
5210200184,98115,44th Place Northeast,9411,7,4,680766.3859129322,489924.3614491716,190842.0244637606
3667500015,98112,19th Avenue East,120,9,3,1922459.6850096243,903179.8340812022,1019279.8509284222
8935100100,98115,43rd Avenue Northeast,6516,7,3,929464.5173406727,568404.1779221542,361060.3394185185
9297300750,98126,Southwest Avalon Way,3055,7,4,613441.4551738277,391782.41280165035,221659.04237217735
518000040,98034,Northeast 133rd Place,7811,8,3,749256.490182421,516767.68237983086,232488.8078025902
1105000360,98118,49th Avenue South,6611,7,3,659747.5131648639,383285.61395446217,276461.89921040175
3331001285,98118,37th Avenue South,5734,7,3,305727.34490850166,212144.22183507853,93583.12307342314
4038400150,98007,156th Avenue Southeast,140,7,3,765598.4083768799,550683.7020979145,214914.70627896534
3331000220,98118,South Brandon Street,3721,7,3,562627.4492531231,340741.1692003156,221886.28005280753
5101405338,98115,Lake City Way Northeast,9801,7,3,772657.0168040391,515639.7345248848,257017.28227915434
723069013,98027,Southeast May Valley Road,19433,7,4,381659.9448829754,283069.38779654243,98590.557086433
7302000610,98053,Northeast 49th Street,27711,7,3,582574.2712100552,381698.9338854112,200875.33732464403
9324800025,98125,35th Avenue Northeast,14332,7,4,478676.1932247347,356464.64180871943,122211.55141601525
7131300047,98118,52nd Avenue South,9640,7,3,619466.0912240987,302231.0472237061,317235.0440003926
8643200061,98198,South 231st Place,1630,7,3,441400.99125130195,307319.69590827735,134081.2953430246
323049176,98118,41st Avenue South,9670,7,4,580074.8192410576,366785.23953306215,213289.57970799546
2591700037,98004,107th Avenue Southeast,1121,7,4,1156408.3597994642,796220.8561477887,360187.50365167554
6139100076,98155,1st Avenue Northeast,18038,7,3,524543.5696524213,386914.58189870085,137628.98775372043
8562901010,98074,211th Place Southeast,36,8,5,740636.7971228933,539359.7284715808,201277.0686513125
1545807180,98038,214th Avenue Southeast,26654,7,4,405054.9695674031,224307.95919691544,180747.01037048764
9808610410,98004,108th Avenue Northeast,,9,3,1128682.5526534163,722211.0126317218,406471.5400216945
6056100165,98108,Martin Luther King Junior Way South,4065,7,3,313956.56495370896,216652.97465202791,97303.59030168105
1257201420,98103,North 60th Street,2318,9,3,1278556.4208108077,715920.174063027,562636.2467477807
7896300592,98118,36th Avenue South,9235,8,3,764190.8206192972,405042.94238100527,359147.87823829195
263000009,98103,North 97th Street,925,8,3,605373.6744632826,424029.32783972897,181344.3466235536
2924079034,98024,308th Avenue Southeast,7515,7,3,598112.4705590365,409847.61597973976,188264.85457929672
