id,road,house_number,neighbourhood,county
3668000070,37th Street Southeast,5805,N/A,King County
9545240070,Jasmine Place Northwest,400,N/A,King County
1243100136,N/A,19851,N/A,King County
8929000270,Northeast Logan Street,2500,N/A,King County
2767602356,Northwest 61st Street,1722,N/A,King County
921049315,South 308th Lane,2833,N/A,King County
3655000070,26th Place South,30204,N/A,King County
4027700812,59th Place Northeast,19311,N/A,King County
3992700335,Northeast 117th Street,3825,N/A,King County
2767603505,Northwest 60th Street,1749,N/A,King County
4232901525,1st Avenue West,1604,N/A,King County
1777500060,Southeast 42nd Place,15910,N/A,King County
1432900240,Southeast 164th Street,12759,N/A,King County
6140100875,Evanston Avenue North,618,N/A,King County
6071600370,125th Avenue Southeast,12505,N/A,King County
1526069017,Northeast 156th Place,15708,N/A,King County
809001525,2nd Avenue North,1816,N/A,King County
3224079105,299th Place Southeast,29915,N/A,King County
8075400570,South 239th Street,3704,Midway,King County
1994200024,Wallingford Avenue North,8010,Licton Springs,King County
3362900810,North 76th Street,353,N/A,King County
1324300398,2nd Avenue Northwest,200,N/A,King County
537000445,South 308th Street,2223,N/A,King County
7855801670,Somerset Drive Southeast,4625,N/A,King County
7920100045,26th Avenue Northeast,6849,Wedgwood,King County
8960000030,125th Avenue Southeast,17229,N/A,King County
6388930390,Southeast 86th Place,12703,Olympus,King County
8731900200,Southwest 322nd Street,2719,Twin Lakes,King County
8029200135,Lafromboise Street,1857,N/A,King County
1081200350,166th Place Southeast,14538,N/A,King County
84000105,Southwest 129th Street,105,N/A,King County
3756500060,111th Avenue Northeast,13017,N/A,King County
7215720160,Southeast 8th Street,23911,N/A,King County
3574800520,88th Avenue Northeast,14413,Simonds Estates,King County
2617300160,239th Avenue Southeast,16037,Four Lakes,King County
2558660270,129th Place Northeast,13415,N/A,King County
2009000370,Des Moines Creek Trail,611,Des Moines Creek,King County
1836980160,Southeast 45th Court,16114,N/A,King County
3261020370,Northeast 115th Way,11501,N/A,King County
1755700060,North 161st Street,2320,Meridian Park,King County
4330600435,2nd Avenue Southwest,14003,N/A,King County
9542800700,33rd Place Southwest,33406,N/A,King County
1999700045,Densmore Avenue North,18810,N/A,King County
1762600070,118th Avenue Northeast,4114,N/A,King County
1687900520,161st Avenue Southeast,16105,N/A,King County
7234600798,17th Avenue,904,N/A,King County
3881900445,19th Avenue South,1802,N/A,King County
2254502445,East Marion Street,1915,N/A,King County
5437810320,Harmony Lane,811,N/A,King County
9158100075,1st Avenue Northwest,12732,N/A,King County
3830630310,Southeast 280th Court,12128,N/A,King County
8123100045,35th Avenue Southwest,7132,High Point,King County
3127200041,106th Avenue Northeast,11611,N/A,King County
6661200320,Southeast 242nd Street,22730,Parkhaven Place,King County
11510310,178th Court Northeast,11021,N/A,King County
825059270,114th Avenue Northeast,6206,N/A,King County
8731951370,36th Avenue Southwest,32621,N/A,King County
1954440060,Northeast 11th Place,22314,N/A,King County
2264500350,Ashworth Avenue North,3520,N/A,King County
1115810060,140th Place Northeast,6523,N/A,King County
9477200200,113th Avenue Northeast,14004,N/A,King County
1432600560,118th Avenue Southeast,15859,N/A,King County
2287000060,Southeast 58th Street,9007,N/A,King County
3663500060,Burke Avenue North,18032,Meridian Park,King County
3996900125,27th Avenue Northeast,16388,Briarcrest,King County
7796450200,Southwest 361st Street,833,N/A,King County
7549802535,16th Avenue South,5802,Van Asselt,King County
3278600320,31st Avenue Southwest,5942,N/A,King County
2824079053,Preston Fall City Road Southeast,6917,N/A,King County
1222069094,260th Avenue Southeast,21820,N/A,King County
3542300060,Northeast 20th Street,2625,Kennydale,King County
2222059065,132nd Avenue Southeast,25002,Kensington Heights,King County
7551300060,Northwest 64th Street,2823,Sunset Hill,King County
100600550,28th Place Southwest,33400,Twin Lakes,King County
3211100860,Southeast 4th Place,4519,Heather Downs,King County
3456000310,Southeast 72nd Place,8871,N/A,King County
9526600140,Northeast 120th Street,16928,N/A,King County
7465900060,Southwest Hinds Street,3816,N/A,King County
1222000055,4th Avenue Southwest,15836,Five Corners,King County
6300000550,Midvale Avenue North,10558,N/A,King County
2310030510,221st Avenue Southeast,27611,Elk Run,King County
1025049114,41st Avenue Northeast,4057,Laurelhurst,King County
8677300550,Northeast 5th Place,24231,N/A,King County
4014400292,47th Court South,31705,N/A,King County
1102000196,South Graham Street,5153,Brighton,King County
257000138,South 128th Street,2616,N/A,King County
46100204,Cedar Cove Road,4384,N/A,King County
1909600046,37th Avenue Southwest,10010,Arbor Heights,King County
1250202145,32nd Avenue South,1534,N/A,King County
7611200125,Northwest 118th Street,817,N/A,King County
5611500140,Southeast 28th Court,2856,N/A,King County
7138000260,South 227th Place,2640,Pacific Ridge,King County
626059335,Northeast 191st Street,9311,N/A,King County
1922059282,East Chicago Street,1322,N/A,King County
705700390,Southeast 245th Street,23844,Belmont Woods,King County
7454001200,32nd Place Southwest,10105,Arbor Heights,King County
8682281200,Big Leaf Way NE,12228,N/A,King County
7972000200,30th Avenue Southwest,34434,N/A,King County
722059070,94th Place South,21638,N/A,King County
7202340400,229th Drive Northeast,8632,N/A,King County
8096000060,Southwest 172nd Street,3316,N/A,King County
2424000060,132nd Place Southeast,9007,Olympus,King County
9264902050,Southwest 325th Place,229,N/A,King County
943100260,Southeast 42nd Street,33113,N/A,King County
3677400445,24th Avenue South,4921,Rainier Vista,King County
1762600320,118th Avenue Northeast,4144,N/A,King County
4058000060,296th Avenue Southeast,28425,N/A,King County
7228500560,23rd Avenue,1419,N/A,King County
326069104,Northeast 188th Street,18810,N/A,King County
5152100060,South 295th Place,806,Marine Hills,King County
3584000310,South 317th Street,1035,N/A,King County
8150100045,35th Avenue Southwest,7936,High Point,King County
1868901275,27th Avenue Northeast,6017,University Park,King County
6131600075,16th Street Northeast,1032,N/A,King County
9468200125,Dayton Avenue North,6701,N/A,King County
8029510030,49th Avenue Southwest,32824,Twin Lakes,King County
2025069065,East Lake Sammamish Trail,2635,N/A,King County
7899800890,17th Avenue Southwest,9039,Highland Park,King County
3021059276,M Place Southeast,3305,N/A,King County
3797001895,North 77th Street,7617,N/A,King County
3832710960,South 263rd Street,4424,N/A,King County
1310430400,172nd Court Southeast,18416,N/A,King County
1422300030,472nd Place Southeast,15223,N/A,King County
1105000588,51st Avenue South,6903,Brighton,King County
3830630060,122nd Place Southeast,28015,N/A,King County
5101404898,Northeast 95th Street,800,N/A,King County
7972601890,8th Avenue Southwest,8414,Highland Park,King County
5127001620,Southeast 142nd Street,14410,N/A,King County
9407100800,426th Avenue Southeast,17420,Wilderness Rim,King County
1873100060,Northeast 117th Street,17219,N/A,King County
8722101360,23rd Avenue East,1818,Montlake,King County
8644000060,South 203rd Street,3410,N/A,King County
3325069129,219th Avenue Northeast,626,N/A,King County
1400300055,26th Avenue South,711,N/A,King County
2123039032,Southwest Hawthorne Lane,8232,N/A,King County
8078560140,127th Court Southeast,22020,Hillshire Terrace,King County
3438500192,19th Avenue Southwest,5248,N/A,King County
7974200510,35th Avenue Northeast,7030,Wedgwood,King County
2557000400,27th Place Southwest,33745,Twin Lakes,King County
7960900060,88th Place Northeast,2320,N/A,King County
4054500390,Tolt Pipeline Trail,14137,N/A,King County
6378500125,Evanston Avenue North,11203,N/A,King County
1745100140,8th Place South,30621,Puget Sound Hills,King County
2976800796,63rd Avenue South,10658,N/A,King County
4235400186,West Government Way,3304,Lawton Park,King County
4215100060,Southeast 209th Court,13035,Shadow Run,King County
9189700045,Southeast 151st Street,13215,N/A,King County
1126049053,62nd Avenue Northeast,6148,N/A,King County
2022069200,Southeast 245th Street,20222,N/A,King County
9412900055,Seward Park Avenue South,7323,Dunlap,King County
1722059235,100th Avenue Southeast,23030,N/A,King County
6874200960,49th Avenue South,10908,N/A,King County
7424700045,36th Avenue,1700,N/A,King County
7202360350,236th Avenue Northeast,8914,N/A,King County
5634500392,Northeast 166th Street,8229,N/A,King County
1509500060,129th Avenue Southeast,24224,Kensington Heights,King County
7214810350,147th Avenue Northeast,14639,N/A,King County
6647200060,111th Court Northeast,13240,N/A,King County
9552700140,Southeast 63rd Street,14213,N/A,King County
2200500350,Southeast Newport Way,14576,N/A,King County
6113400046,Normandy Park Drive Southwest,19412,N/A,King County
6619910140,89th Court Northeast,12519,N/A,King County
1115450240,South 299th Street,6401,N/A,King County
6073240060,119th Place Southeast,6933,N/A,King County
9297300045,33rd Avenue Southwest,3608,N/A,King County
9510920070,Southeast 16th Place,24142,N/A,King County
5468730030,Southeast 276th Place,27707,N/A,King County
8079030390,Northeast 18th Street,4809,N/A,King County
600000152,17th Avenue South,4915,South Seattle,King County
1840000030,Military Road South,4820,N/A,King County
3225069065,East Lake Sammamish Trail,425,N/A,King County
3260800030,26th Avenue South,28133,Laurelwood,King County
2747100024,28th Avenue Northwest,8817,North Beach,King County
5104530560,256th Place Southeast,27669,N/A,King County
4330600350,Southwest 142nd Street,209,Highline,King County
5016001535,27th Avenue East,443,N/A,King County
7280300196,Northwest 204th Street,2108,N/A,King County
8651520400,Northeast 42nd Street,4203,N/A,King County
7171200445,28th Avenue Northeast,5520,University Park,King County
3204800200,Southeast 73rd Place,11915,N/A,King County
3416600800,30th Avenue South,119,N/A,King County
7994700030,Southeast 80th Street,37804,N/A,King County
1860600135,West Blaine Street,709,Interbay,King County
4139480200,Southeast 58th Place,17892,N/A,King County
4139480200,Southeast 58th Place,17892,N/A,King County
1328320800,Southeast 176th Place,16207,Fairwood Greens,King County
7771300125,North 147th Street,2132,N/A,King County
3422059208,138th Place Southeast,28506,N/A,King County
9521101455,North 48th Street,1022,N/A,King County
4337000335,2nd Avenue Southwest,13700,N/A,King County
325059286,142nd Avenue Northeast,8071,N/A,King County
2597650240,Sierra Court Southwest,3223,N/A,King County
3353400435,3rd Avenue Southwest,123,N/A,King County
7972000240,30th Avenue Southwest,34410,N/A,King County
7520000520,Southwest 120th Street,1326,Mount View,King County
7520000520,Southwest 120th Street,1326,Mount View,King County
3530210260,Northeast 199th Place,18328,N/A,King County
1959700550,11th Avenue East,2625,Portage Bay,King County
1665400045,Southwest 146th Street,721,N/A,King County
9542850320,Southeast 21st Place,13020,Woodridge,King County
3179100060,Pullman Avenue Northeast,4815,Hawthorne Hills,King County
2946001550,9th Avenue South,20238,North Hill,King County
8078490390,Almadon Street,121,The Meadows,King County
9550201550,Keystone Place North,5126,N/A,King County
191100045,Southeast 46th Street,4558,N/A,King County
5009600070,Southeast 283rd Street,21650,Madisen Drive,King County
200350070,132nd Avenue Northeast,18960,N/A,King County
2877103726,North 70th Street,109,N/A,King County
405100295,North 171st Street,263,N/A,King County
4268200055,South 121st Street,8916,N/A,King County
3126069068,Avondale Road Northeast,10604,N/A,King County
1115300070,138th Avenue Southeast,8911,N/A,King County
6414100671,Northeast 128th Street,819,N/A,King County
7004200060,Southwest 250th Way,12040,N/A,King County
7852110140,Curtis Drive Southeast,7027,N/A,King County
3969300030,74th Place South,12646,N/A,King County
3969300030,74th Place South,12646,N/A,King County
4048400070,196th Avenue Southeast,14602,N/A,King County
808000070,Southeast 270th Street,12613,Seven Oaks East,King County
7374200030,21st Avenue Northeast,19529,N/A,King County
7325600160,361st Avenue Northeast,8314,N/A,King County
2757000030,Southeast 48th Street,8750,N/A,King County
616000140,2nd Place Southwest,20853,N/A,King County
3363900111,Dayton Avenue North,7011,N/A,King County
9262800171,South 324th Street,5124,N/A,King County
6607000126,43rd Avenue South,6609,Brighton,King County
5416510830,230th Place Southeast,26830,Rock Creek Meadows,King County
2201500030,Southeast 38th Place,15328,N/A,King County
325059171,Northeast 100th Street,13615,N/A,King County
952003285,39th Avenue Southwest,4150,N/A,King County
3211290370,273rd Avenue Northeast,3040,N/A,King County
1072010350,149th Place Southeast,14024,Willowbrook,King County
8856950070,234th Way Southeast,24220,Valley Green,King County
925059078,116th Avenue Northeast,11711,N/A,King County
7855801090,132nd Avenue Southeast,4501,N/A,King County
723099065,473rd Avenue Southeast,12626,N/A,King County
6116500075,Southwest 170th Street,1928,N/A,King County
1118500030,Northeast 30th Place,24204,N/A,King County
424069250,223rd Avenue Southeast,1710,N/A,King County
3291800710,Northeast 4th Court,2719,Liberty Ridge,King County
6838700060,Aberdeen Place Northeast,2118,Kennydale,King County
2231500030,North 196th Street,1321,N/A,King County
2231500030,North 196th Street,1321,N/A,King County
7683900200,8th Avenue Southwest,35638,N/A,King County
8155830060,Blaine Avenue Northeast,1260,Kennydale,King County
98020310,278th Avenue Southeast,2913,N/A,King County
9423400140,23rd Avenue Northeast,12016,N/A,King County
1545804860,221st Avenue Southeast,26627,Cherokee Bay,King County
2883200160,North 75th Street,2405,N/A,King County
7132300695,Hiawatha Place South,1126,N/A,King County
1726059053,108th Place Northeast,10919,N/A,King County
624111000,Northeast 141st Street,20816,N/A,King County
808300310,283rd Court Northeast,13807,N/A,King County
8563040160,183rd Avenue Northeast,2016,N/A,King County
713500030,145th Place Southeast,5325,N/A,King County
8651600160,85th Place Southeast,6121,N/A,King County
9517200030,145th Place Northeast,14531,N/A,King County
2460700700,Southeast 158th Place,12902,N/A,King County
1223039290,26th Avenue Southwest,11614,Shorewood,King County
2890100060,1st Avenue Northwest,19545,N/A,King County
7972600860,12th Avenue Southwest,8146,Highland Park,King County
8857320070,Northeast 2nd Place,108,N/A,King County
4047200695,Northeast 202nd Street,32702,N/A,King County
1653500070,92nd Avenue Northeast,9155,N/A,King County
1923000030,Southeast 46th Street,9370,N/A,King County
3649100320,75th Avenue Northeast,7421,N/A,King County
7375300160,Southeast 15th Street,16620,N/A,King County
5175800060,158th Avenue Southeast,4125,N/A,King County
1604601375,South Genesee Street,4248,Rainier Vista,King County
2473251090,Southeast Fairwood Boulevard,13805,Fairwood West,King County
9126100861,21st Avenue,406,N/A,King County
3420069065,Southeast 472nd Street,23849,Glacier Vista,King County
6021501685,23rd Avenue Northwest,8034,Loyal Heights,King County
1151100070,Southeast 133rd Street,42028,N/A,King County
8856950240,231st Place Southeast,24223,Valley Green,King County
9385200055,Wickstrom Place Southwest,2434,Alki,King County
7821200390,Midvale Avenue North,4451,N/A,King County
8078520310,Southeast 319th Street,11547,N/A,King County
1565950030,113th Way Southeast,19113,Chinoquan,King County
1560930070,Southeast 221st Street,23633,The Highlands of Cedar River,King County
6700400140,112th Place Southeast,22116,N/A,King County
2422029094,115th Avenue Southwest,24009,N/A,King County
1774220160,Northeast 200th Street,19827,N/A,King County
1525200060,106th Avenue Northeast,10531,N/A,King County
1678400105,Rainier Avenue South,11005,N/A,King County
3426059070,Northeast 112th Place,11202,N/A,King County
824079032,295th Avenue Southeast,3707,N/A,King County
2697100140,North 160th Street,2132,Meridian Park,King County
8724300030,267th Court Northeast,14415,N/A,King County
8678500060,Southeast 15th Place,29433,N/A,King County
625049299,North 82nd Street,1713,N/A,King County
6073200075,Southeast 42nd Street,12015,Newport Shores,King County
6388900710,Southeast 84th Street,12831,Olympus,King County
1442860160,Southeast 189th Place,13518,Boulevard Place,King County
7942600310,19th Avenue,537,N/A,King County
1545808560,Southeast 271st Street,22054,Cherokee Bay,King County
936000060,3rd Avenue Southwest,16420,Five Corners,King County
9808650060,Northeast 33rd Street,9052,N/A,King County
3754700160,Northeast 139th Street,10521,Maple Glen,King County
305500140,Southeast 186th Street,12152,N/A,King County
5468750060,139th Avenue Southeast,25405,N/A,King County
2944010240,160th Avenue Northeast,13405,N/A,King County
3454000060,Sunnyside Avenue North,4632,Meridian,King County
646910160,108th Avenue Southeast,18939,N/A,King County
8564950390,Northeast 201st Place,8625,N/A,King County
2268400350,Southeast 49th Street,13203,N/A,King County
7504101040,224th Place Northeast,2533,N/A,King County
11500890,Northeast 107th Court,17722,Education Hill,King County
9528102772,Roosevelt Way Northeast,846,N/A,King County
284000223,39th Avenue Southwest,11001,Arroyo Heights,King County
3353401710,5th Avenue Southwest,200,N/A,King County
8159610030,51st Avenue South,29010,N/A,King County
3179100435,Pullman Avenue Northeast,4816,Hawthorne Hills,King County
822079033,293rd Avenue Southeast,N/A,N/A,King County
8857600960,35th Avenue South,24317,N/A,King County
1774000200,Avondale Road Northeast,16520,N/A,King County
2024069128,Northwest Pinecone Place,1750,N/A,King County
1049010390,Northeast 149th Street,12119,N/A,King County
7905370390,Northeast 134th Place,9767,N/A,King County
4140090240,Northeast 194th Place,6149,N/A,King County
4055700030,Holmes Point Drive Northeast,13132,N/A,King County
3775300030,95th Place Northeast,20021,N/A,King County
2525300030,Southeast 267th Place,23404,Fernwood Estates,King County
1324059104,Southeast 42nd Place,4236,N/A,King County
2287000030,Southeast 59th Street,8815,N/A,King County
7702010030,Northeast 182nd Place,7928,N/A,King County
1529200340,137th Lane Northeast,14810,N/A,King County
2122039094,Southwest 246th Street,8166,N/A,King County
1742800030,Raymond Place Northwest,540,N/A,King County
1796360350,189th Place Southeast,26222,Covington Woods,King County
6154500070,162nd Lane Southeast,4564,N/A,King County
1843100340,Southeast 252nd Place,16138,Crofton Heights,King County
8944290160,130th Avenue Southeast,23451,N/A,King County
4166600473,30th Avenue Southwest,30304,Lakota,King County
7282300125,North 183rd Street,135,N/A,King County
8658300340,East Rutherford Street,32245,N/A,King County
2419600075,North 141st Street,500,Bitter Lake,King County
2621760350,175th Place Southeast,25846,Foxfield,King County
1723049270,12th Avenue South,13120,N/A,King County
4123840310,224th Court Southeast,25518,Crown Pointe Greens,King County
2172000075,56th Avenue South,13301,N/A,King County
8651611170,Northeast 27th Place,20529,N/A,King County
8820902200,Lakeside Avenue Northeast,12056,N/A,King County
8651610890,204th Terrace Northeast,2519,N/A,King County
1853080570,Southeast 22nd Place,20836,N/A,King County
3629920030,Northeast Jewell Lane,2483,N/A,King County
1604602050,Letitia Avenue South,4020,Rainier Vista,King County
6844700810,Northeast 91st Street,3511,Wedgwood,King County
66000070,38th Avenue Southwest,5956,Morgan Junction,King County
6665800030,114th Avenue Northeast,6510,N/A,King County
2205700350,140th Avenue Southeast,3714,N/A,King County
5466000030,135th Place Southeast,23915,Kensington Heights,King County
6189200125,Northeast 27th Street,12410,N/A,King County
9169600135,46th Avenue Southwest,8440,Fauntleroy,King County
2625069070,250th Avenue Northeast,926,N/A,King County
8732131090,Southwest 328th Place,3520,Twin Lakes,King County
9286000240,Saddleback Trail,5610,N/A,King County
1895000260,55th Avenue South,9630,Rainier Beach,King County
8691370400,271st Avenue SOutheast,1124,N/A,King County
5423010350,N/A,19256,N/A,King County
8562501040,139th Place Northeast,7643,N/A,King County
2475200140,Southeast 8th Place,2470,N/A,King County
7942100310,190th Place Southeast,24622,N/A,King County
3760000030,Northeast 120th Place,9394,N/A,King County
1727500340,Northeast 133rd Street,9325,N/A,King County
9828702519,24th Avenue East,106,N/A,King County
4432600075,California Avenue Southwest,2207,Admiral,King County
7806300030,South 243rd Street,3805,N/A,King County
9274202270,46th Avenue Southwest,1730,Admiral,King County
7852030960,Cottonwood Drive Southeast,34515,N/A,King County
7852170140,Crest View Loop Southeast,6612,Crestview,King County
7518503335,19th Avenue Northwest,7008,N/A,King County
5467900070,143rd Avenue Southeast,26215,N/A,King County
1245002952,3rd Street,1031,N/A,King County
8906200070,Southeast 181st Street,11217,N/A,King County
5379805885,N/A,17412,N/A,King County
2769600560,5th Avenue Northwest,6018,N/A,King County
9238901420,Southwest Ida Street,4106,High Point,King County
5113400431,13th Avenue West,2820,Interbay,King County
3885805665,9th Avenue,627,N/A,King County
8121200810,Northeast 134th Place,17202,N/A,King County
5126310400,Northeast 3rd Court,5941,Maplewood Estates,King County
7322910030,Northeast 53rd Place,24041,N/A,King County
2827100070,North 145th Street,812,N/A,King County
9276201895,48th Avenue Southwest,2712,Admiral,King County
4402700070,Densmore Avenue North,15721,Meridian Park,King County
1922059046,Kensington Avenue South,105,N/A,King County
925059288,125th Place Northeast,7559,N/A,King County
4386700135,East McGilvra Street,3710,Canterbury,King County
1923069078,196th Avenue Southeast,14611,N/A,King County
1432400335,123rd Avenue Southeast,16812,N/A,King County
1180003090,Rainier Avenue North,8735,N/A,King County
726049331,North 174th Place,17313,Meridian Park,King County
3340401555,South 15th Street,222,Talbot Hill,King County
7453000070,32nd Avenue Southwest,9338,Westwood,King County
4348800030,111th Avenue Northeast,1232,N/A,King County
7202331420,Northeast 92nd,22540,N/A,King County
3225079035,Southeast 5th Street,29236,N/A,King County
6381500700,23rd Place Northeast,14067,Kenwood,King County
339500160,192nd Avenue Northeast,10308,N/A,King County
1545807610,Southeast 269th Street,21320,Cherokee Bay,King County
1843200240,28th Street Southeast,2906,N/A,King County
4403600270,Southeast 19th Street,20028,N/A,King County
2008200060,13th Avenue South,21416,Des Moines Creek,King County
1521069070,Lynch Lane,32451,N/A,King County
2459500310,135th Avenue Southeast,19231,Fairwood Hills,King County
6204420070,106th Avenue Northeast,14934,N/A,King County
5694500105,Woodland Park Avenue North,4211,N/A,King County
5466410030,Southeast 272nd Court,13612,N/A,King County
9485740340,Wells Avenue South,3462,Winsper,King County
622049114,10th Place Southwest,20661,N/A,King County
2270000070,Edmonds Place Northeast,1174,N/A,King County
