id,zipcode,road,house_number,grade,condition,price,rehab_cost,closing_cost,total_expected_cost
9407001610,98045,Southeast 170th Court,42506,7,3,271900.0,49140.6174,8846.890653863276,329887.50805386325
9808590310,98004,Northeast 37th Place,11262,10,3,1000750.0,79818.8706,29810.895317817238,1110379.7659178174
3530530110,98198,South 249th Place,1108,8,4,149900.0,15258.869400000001,4687.739599768384,169846.6089997684
9212900100,98115,30th Avenue Northeast,8016,7,3,425000.0,47318.728800000004,14741.685639579453,487060.4144395794
7598100735,98040,Southeast 44th Place,8525,8,4,769000.0,50818.6956,27082.60136007317,846901.2969600732
2768100690,98107,Northwest Market Street,926,7,4,513000.0,23938.613400000002,15503.647544203908,552442.2609442039
1193000025,98199,28th Avenue West,3233,7,3,495000.0,49918.62820000001,16813.928409848177,561732.5566098482
3679400025,98144,14th Avenue South,3436,7,4,385000.0,30238.9623,13470.520426495237,428709.48272649525
5605000590,98112,Montlake Boulevard East,2906,9,4,975000.0,42279.0933,29600.793936112812,1046879.8872361127
7663700261,98125,35th Avenue Northeast,14315,7,4,395000.0,27439.1421,12153.666873997703,434592.8089739977
9407102460,98045,Southeast 175th Place,42723,7,3,178500.0,29119.433,5167.88269762921,212787.3156976292
7129304105,98118,54th Avenue South,9320,7,3,285000.0,45759.9086,10473.009477403428,341232.91807740345
1160000115,98125,Northeast 108th Street,1223,8,3,401000.0,78260.0504,15692.407488982133,494952.45788898214
6114400028,98166,Southwest 174th Street,427,8,4,403500.0,50398.2705,13563.952813752152,467462.22331375215
9407101380,98045,Southeast 167th Street,42205,7,2,189000.0,54019.986399999994,5919.019269790969,248939.00566979096
9460000110,98055,Maple Avenue Northwest,369,7,3,280000.0,68378.19380000001,8426.202894422355,356804.39669442235
5072300100,98166,Southwest 177th Street,328,8,4,470000.0,47318.1669,14435.19332392666,531753.3602239267
793200100,98007,153rd Place Southeast,1402,7,4,360000.0,32898.6408,13535.90134649464,406434.5421464946
686400930,98008,169th Avenue Northeast,2410,8,4,589000.0,55018.4259,18844.937817819482,662863.3637178196
1254200015,98117,24th Avenue Northwest,7053,7,3,405000.0,58759.405600000006,16653.570072162373,480412.97567216237
8146300025,98004,111th Avenue Southeast,243,7,4,772000.0,34999.259399999995,22880.257482608104,829879.5168826081
2734100734,98109,Carleton Avenue South,6715,7,3,216650.0,40039.5702,9208.246074468214,265897.8162744682
7963900100,98004,109th Avenue Northeast,1930,8,4,680000.0,36679.4529,24110.62698763118,740790.0798876312
925059113,98033,123rd Avenue Northeast,7560,7,4,490000.0,33178.9242,15277.276712793517,538456.2009127935
7173700524,98115,Ravenna Avenue Northeast,7504,7,3,410000.0,43160.0092,12594.379207760954,465754.38840776094
1105000745,98118,46th Avenue South,6924,7,3,227064.0,40820.37960000001,7622.286656319027,275506.66625631903
514500090,98005,137th Avenue Southeast,2448,7,5,550000.0,15748.3202,16174.99676739239,581923.3169673923
4037800015,98008,Northeast 2nd Street,16029,7,4,480000.0,36259.0278,14104.984215954455,530364.0120159545
6825100015,98117,12th Avenue Northwest,9702,7,4,437000.0,20998.6515,13865.412147911115,471864.06364791107
9268200300,98117,7th Avenue Northwest,9237,7,4,490000.0,26738.4336,14582.639231111125,531321.0728311111
475000750,98107,Northwest 52nd Street,306,7,3,477000.0,45499.63880000001,14554.563061353052,537054.2018613531
3432500215,98155,,,7,4,345000.0,21559.2183,10153.748466748346,376712.96676674834
1137300690,98072,182nd Place Northeast,15347,9,4,369900.0,39479.2731,15105.634807822953,424484.9079078229
2572400100,98122,East Fir Street,1516,7,2,302000.0,59197.36639999999,9957.611025100648,371154.97742510063
2770604920,98119,West Emerson Street,1212,8,3,497000.0,53559.6068,15042.379571778594,565601.9863717785
723069049,98027,Southeast May Valley Road,18916,7,4,379000.0,41998.80989999999,12408.560100028735,433407.37000002875
5272200005,98125,Roosevelt Way Northeast,11722,7,3,175000.0,30160.5122,7256.973456775094,212417.4856567751
7972601235,98106,8th Avenue Southwest,8156,7,3,325000.0,63959.2044,10235.11582828289,399194.3202282829
9407111100,98045,Southeast 170th Place,42824,7,3,220650.0,37960.210399999996,6344.0999302915525,264954.3103302915
7228500094,98122,24th Avenue,1517,7,3,278000.0,38480.75,8446.21506807572,324926.96506807575
5035300255,98199,Viewmont Way West,3628,8,3,450000.0,55378.6968,13780.554125958794,519159.2509259588
4365700130,98106,22nd Avenue Southwest,8815,7,3,210000.0,43160.0092,6759.487274646731,259919.49647464673
3244500078,98072,Northeast Woodinville Duvall Road,14914,9,3,600000.0,128178.6786,24394.412721021647,752573.0913210217
9828702890,98112,23rd Avenue,222,8,4,760000.0,42698.0115,29313.794444980856,832011.8059449808
7524400250,98052,Northeast 115th Court,13217,8,4,424240.0,29119.335600000002,12168.259671480648,465527.5952714806
2596400050,98177,6th Avenue Northwest,18521,7,4,375000.0,27439.1421,10833.338414291942,413272.48051429196
7011201470,98119,11th Avenue West,1906B,8,5,625000.0,15118.4778,19619.37406421711,659737.8518642171
2423069120,98027,Southeast 154th Place,27230,7,3,295000.0,57200.585399999996,9563.937120762106,361764.5225207621
7129300595,98118,59th Avenue South,9916,7,3,158000.0,28338.623600000003,4986.992463210189,191325.61606321018
7575610170,98003,25th Drive South,27555,8,3,200000.0,57460.8552,5851.1440439735425,263311.9992439735
3080000005,98144,South Lander Street,2010,7,3,181000.0,34058.962,8316.69021635357,223375.65221635357
807800190,98030,Southeast 270th Street,12421,7,4,245000.0,32898.6408,7344.081131262601,285242.7219312626
6820100010,98115,15th Avenue Northeast,7502,7,4,415000.0,25199.8887,11927.176655771396,452127.0653557714
3578401060,98074,220th Place Northeast,1525,8,4,345000.0,26878.5753,10807.291664354374,382685.8669643544
2926049408,98125,Northeast 106th Street,1115,8,3,400000.0,77999.7806,16534.47325197676,494534.25385197677
6381502155,98125,20th Avenue Northeast,13600,7,3,300000.0,38741.0198,8738.23705250651,347479.25685250654
8024200010,98115,Northeast 100th Street,1015,7,2,312000.0,54019.986399999994,12617.32526344604,378637.311663446
6071200545,98006,116th Place Southeast,5211,8,4,541125.0,38358.1395,15579.208888586229,595062.3483885863
7942600006,98122,East Cherry Street,1915,7,3,345000.0,36141.1204,11951.913485363559,393093.03388536355
5561200980,98027,Southeast 157th Street,25631,8,3,390000.0,69679.5428,11875.92538975335,471555.46818975336
3039000020,98033,Northeast 114th Place,10725,7,4,450000.0,25899.0903,13042.563964829027,488941.654264829
1266200130,98004,Northeast 14th Street,11056,7,3,650000.0,55638.9666,18681.03308966137,724319.9996896614
425079099,98014,Northeast 88th Street,32241,9,3,560000.0,107119.2136,16543.88562406748,683663.0992240675
7292700005,98177,Northwest 196th Place,228,8,4,485000.0,45078.913499999995,15711.813845020208,545790.7273450203
8122100595,98126,32nd Avenue Southwest,7155,7,3,212700.0,24440.1738,7118.712051513193,244258.8858515132
8850000285,98144,17th Avenue South,1511,7,4,350000.0,32199.4392,12643.188660634427,394842.6278606345
1133000050,98125,20th Avenue Northeast,12527,7,3,362000.0,61359.305,10638.11329327036,433997.41829327034
1931300425,98103,Aurora Avenue North,3908,7,5,539000.0,15188.544,16241.79160260836,570430.3356026084
3298600440,98092,Southeast 342nd Street,13204,9,4,260000.0,32478.2157,7437.686656986263,299915.90235698625
4443801495,98117,25th Avenue Northwest,7557,7,4,470000.0,30519.2457,15039.452180856124,515558.6978808561
2071700010,98133,North 159th Street,2150,7,3,340000.0,67079.6434,10646.338474561448,417725.98187456146
5100404030,98115,15th Avenue Northeast,9212,8,4,523000.0,41998.80989999999,18117.701193106088,583116.5110931061
8651510380,98074,Northeast 44th Street,20916,8,3,310000.0,53819.8766,10832.662210773353,374652.53881077335
9826701794,98122,East Alder Street,2219,8,3,390000.0,40299.840000000004,12143.056419122839,442442.8964191229
507100005,98133,North 204th Place,1818,7,3,285000.0,55118.426999999996,12778.94686199573,352897.37386199576
3226049466,98115,1st Avenue Northeast,9014,7,3,340000.0,48880.3476,13165.872047362573,402046.21964736254
4443800130,98117,Earl Avenue Northwest,8025,7,3,320000.0,35880.850600000005,11943.778996409248,367824.6295964093
5605000595,98112,Montlake Boulevard East,2906,8,3,685000.0,72019.1724,22078.66661012955,779097.8390101296
1099760470,98023,33rd Avenue Southwest,32955,7,3,161700.0,44718.8294,4826.36704889471,211245.19644889468
1430800279,98166,Southwest 144th Place,1416,8,4,469000.0,41438.2431,13845.287748825467,524283.53084882547
2872900280,98074,226th Place Northeast,1915,8,4,540000.0,42559.3767,18818.2162159515,601377.5929159515
2323069022,98027,Issaquah-Hobart Road Southeast,15625,7,4,390000.0,25199.8887,13071.487138043383,428271.3758380434
7885100005,98108,South Trenton Street,711,7,3,299000.0,60318.2258,9049.710932162869,368367.9367321629
1338801060,98112,23rd Avenue East,814,8,3,560000.0,47058.459,16388.9294525565,623447.3884525566
6072500050,98006,121st Avenue Southeast,6311,8,5,560000.0,20157.970400000002,17540.20144658952,597698.1718465895
5116000250,98028,Northeast 204th Street,5608,7,3,320000.0,57718.326400000005,9795.86239458006,387514.18879458006
526059224,98011,100th Avenue Northeast,19820,7,3,260000.0,42899.7394,7697.544770715123,310597.28417071514
3946900010,98115,5th Avenue Northeast,8816,7,3,500007.0,47318.728800000004,16303.058010246035,563628.7868102461
225039145,98117,Northwest 80th Street,3103,7,3,285000.0,31459.0626,9640.106286278837,326099.1688862788
8965450190,98006,Southeast 48th Place,16722,7,3,295000.0,38998.491,8541.43846231368,342539.92946231365
3336001470,98118,Wabash Avenue South,8659,7,5,311000.0,13299.016800000001,11142.16632379692,335441.1831237969
6914700130,98115,Northeast 97th Street,834,7,4,520500.0,26599.7988,16151.626033376,563251.424833376
5101404698,98115,Northeast 94th Street,840,7,3,365000.0,31198.792800000003,10939.16034715612,407137.9531471561
4006000571,98118,37th Avenue South,8310,7,3,183750.0,42899.7394,6192.555712276096,232842.2951122761
9310300300,98133,Linden Avenue North,15027,8,4,411000.0,40038.333,12155.049690280253,463193.3826902802
3288301050,98034,Northeast 145th Street,11736,8,4,482000.0,42138.9516,15823.209343106306,539962.1609431063
7818700410,98117,Northwest 86th Street,659,7,3,481500.0,55638.9666,13766.774482039496,550905.7410820395
626049058,98133,Greenwood Avenue North,20042,7,3,275000.0,66819.3736,11388.790569046614,353208.1641690466
8085400355,98004,Northeast 28th Place,10004,9,3,1270000.0,102700.22420000001,36363.949583947644,1409064.1737839477
3904100220,98118,South Kenyon Street,4452,7,5,276000.0,10359.25,8424.771287983915,294784.0212879839
9459200110,98118,Martin Luther King Junior Way South,5237,7,4,315000.0,24359.0385,15594.915161729834,354953.9536617299
6071800410,98006,127th Avenue Southeast,6209,8,4,500000.0,31078.3056,14756.37068722117,545834.6762872211
257000037,98168,South 122nd Street,2625,7,3,200000.0,55118.426999999996,7298.416232624728,262416.8432326247
2205500540,98006,Southeast Eastgate Drive,14732,7,4,365000.0,25478.665200000003,11529.475083026866,402008.14028302685
2206700215,98006,Southeast 45th Street,15003,7,5,375000.0,14488.635400000001,11949.96079509838,401438.5961950984
603001050,98118,39th Avenue South,8829,7,3,230000.0,37179.401,7675.734421661765,274855.1354216618
3348401095,98178,South Juniper Street,5364,7,3,210000.0,54340.4162,6629.655075647595,270970.07127564756
2061100265,98115,Latona Avenue Northeast,8224,7,3,370000.0,32500.1418,10623.646636226425,413123.78843622643
5379804470,98188,Military Road South,17104,7,4,170000.0,26878.5753,6123.561798695737,203002.13709869573
6046400755,98103,Aurora Avenue North,8601,7,5,475000.0,14138.3044,15618.245269105351,504756.5496691054
9268200315,98117,7th Avenue Northwest,9209,7,5,456000.0,13088.8182,15908.82355900385,484997.6417590038
7760600110,98038,Southeast Wax Road,19700,7,3,212000.0,43940.8186,6408.10023355285,262348.91883355286
7227800025,98056,Jefferson Avenue Northeast,2012,7,3,250000.0,59800.484800000006,8340.838030851708,318141.32283085166
4038000040,98008,Northeast 3rd Place,16226,7,4,250000.0,26738.4336,10676.931112365937,287415.3647123659
6072760210,98006,Southeast 46th Court,12315,8,4,437850.0,37378.654500000004,16466.665413341874,491695.3199133419
5127001320,98059,143rd Place Southeast,14431,7,4,190000.0,21278.9349,5751.937644582778,217030.87254458276
2523069146,98027,Tiger Mountain Road Southeast,16729,7,5,349900.0,16938.6922,12403.023574931694,379241.7157749317
7883603425,98108,South Rose Street,754,7,2,155000.0,46249.9338,5386.68724265308,206636.62104265307
3750603940,98001,43rd Avenue South,37637,7,5,240000.0,13158.8844,6972.982673908365,260131.86707390836
5282200015,98115,14th Avenue Northeast,7550,7,5,525000.0,19247.8632,16157.5299730599,560405.3931730599
8728100775,98144,South Norman Street,2001,8,3,190500.0,28859.163200000003,6105.361180386796,225464.5243803868
1556200265,98122,30th Avenue,541,8,4,552500.0,37799.0796,19968.46445913197,610267.544059132
8146300015,98004,111th Avenue Southeast,233,7,3,685000.0,56419.776,19689.739474149923,761109.5154741498
623049273,98146,8th Avenue Southwest,10433,7,3,225000.0,40299.840000000004,7337.40256586166,272637.24256586167
1105000229,98118,South Graham Street,4811,7,3,285000.0,54860.9558,8147.843083017482,348008.7988830175
9165100230,98117,Earl Avenue Northwest,7301,8,3,575000.0,55899.23640000001,17147.676940114878,648046.913340115
1825079018,98053,East Ames Lake Drive Northeast,4040,7,3,340000.0,88399.3782,14023.244900893016,442422.62310089305
6205500580,98005,122nd Avenue Southeast,2539,8,3,530000.0,68638.4636,15696.336398966037,614334.799998966
6046401030,98103,Linden Avenue North,8516,7,3,432500.0,51480.246999999996,12466.6344421813,496446.8814421813
424059100,98005,121st Avenue Southeast,2318,8,3,449228.0,78520.3202,16978.55319117954,544726.8733911795
7518505070,98117,21st Avenue Northwest,6530,7,5,402000.0,13998.9254,14458.373321145238,430457.29872114526
9144300110,98072,133rd Place Northeast,18545,7,3,308000.0,43680.548800000004,12066.87064467155,363747.41944467154
1787600165,98125,3rd Avenue Northeast,13040,8,3,396500.0,62140.1144,11980.092395870219,470620.2067958702
2917200085,98103,Phinney Avenue North,9732,7,3,350000.0,30160.5122,10681.776366641698,390842.2885666417
4047200135,98019,324th Avenue Northeast,20020,9,3,289275.0,74358.802,12090.77213979436,375724.5741397944
1219000473,98166,5th Avenue Southwest,15810,7,3,164950.0,40820.37960000001,5660.423852386422,211430.80345238643
1923800135,98103,Fremont Avenue North,7719,7,4,495000.0,29119.335600000002,19591.407153583477,543710.7427535835
682000030,98004,105th Avenue Southeast,318,8,3,610000.0,59800.484800000006,21777.071155077465,691577.5559550774
955000060,98112,23rd Avenue East,221,7,3,462500.0,43940.8186,13217.17043287713,519657.98903287714
2205500335,98006,Southeast 37th Street,14429,7,4,420000.0,27158.858699999997,12365.160125957429,459524.01882595744
5244800125,98109,3rd Avenue North,2916,8,4,650000.0,25758.9486,19355.469025135477,695114.4176251355
9238900390,98136,46th Avenue Southwest,7749,8,3,460000.0,48359.808000000005,13640.80874494817,522000.6167449482
1682000350,98092,Southeast 323rd Place,11624,7,4,148226.0,19598.7414,4482.78411424106,172307.52551424105
7888000400,98198,South 259th Street,1904,7,3,150000.0,34319.2318,4624.359533171198,188943.5913331712
711000070,98004,Southeast 20th Street,10647,7,4,730000.0,28558.7688,21139.04995612812,779697.8187561281
5015000700,98112,East Aloha Street,2640,7,4,563225.0,34438.692599999995,20511.883470601555,618175.5760706015
8074200160,98056,Jefferson Avenue Northeast,600,7,5,265000.0,12599.1082,7812.019094012078,285411.1272940121
8617000060,98007,Southeast 18th Street,15502,10,3,711600.0,93078.63739999999,20465.282255123053,825143.919655123
2205500030,98006,148th Avenue Southeast,3765,7,3,331500.0,44201.0884,10180.02186792385,385881.11026792385
1176000390,98107,Northwest 59th Street,3441,7,4,448000.0,22818.9867,13815.009644453245,484633.99634445325
3271300955,98199,West Bertona Street,4109,9,5,554729.0,14138.3044,17970.16639960623,586837.4707996063
6888900060,98118,Renton Avenue South,5205,7,3,326000.0,67079.6434,11899.708813349222,404979.3522133492
3243200310,98059,163rd Avenue Southeast,12840,7,4,300000.0,29678.3955,9346.122611182149,339024.51811118214
3876310860,98034,130th Place Northeast,14314,7,3,350000.0,60060.75460000001,10385.204091682032,420445.958691682
1118001631,98112,Windermere Drive East,1609,9,3,1225000.0,77479.24100000001,37584.75473202389,1340063.9957320238
6141100320,98133,Phinney Avenue North,12226,7,3,245000.0,38998.491,9467.676255494553,293466.1672554945
1924069105,98027,194th Avenue Southeast,4888,8,3,450000.0,81898.2304,15168.734907563034,547066.9653075631
3995700435,98155,25th Avenue Northeast,15022,7,4,265000.0,27158.858699999997,8311.910850458034,300470.769550458
685000160,98004,Northeast 24th Street,10201,7,4,770000.0,35279.5428,22461.50166350421,827741.0444635042
1562100340,98007,Northeast 13th Street,15049,8,3,295000.0,55118.426999999996,10433.404455891196,360551.8314558912
5101402435,98115,Ravenna Avenue Northeast,9014,7,5,312000.0,10778.8938,10857.836928698382,333636.7307286984
5035300570,98199,43rd Avenue West,3526,8,4,650000.0,32199.4392,20511.625166212318,702711.0643662123
2887701940,98115,15th Avenue Northeast,7724,7,3,485000.0,53559.6068,17726.93737883603,556286.5441788359
6430000070,98103,North 80th Street,928,7,4,355000.0,19879.0248,13798.344339166162,388677.3691391662
2734100732,98109,Carleton Avenue South,6709,7,3,216650.0,38480.75,8790.708406649748,263921.45840664976
3179101070,98105,Oberlin Avenue Northeast,5720,9,4,880000.0,45078.913499999995,32206.36565280524,957285.2791528052
524059208,98004,109th Avenue Southeast,1906,7,4,650000.0,26599.7988,19489.674499541332,696089.4732995413
4099100260,98033,117th Drive Northeast,6908,9,3,589000.0,76438.1618,19284.55553817828,684722.7173381783
1923300135,98103,North 80th Street,511,7,4,365000.0,25478.665200000003,15324.538693270619,405803.20389327063
8722101370,98112,23rd Avenue East,1810,8,3,625000.0,56680.0458,19754.33657463909,701434.382374639
3080000030,98144,21st Avenue South,2601,7,3,398750.0,57978.5962,12045.345168357722,468773.94136835774
2492200055,98126,Southwest Webster Street,3529,7,4,412000.0,26319.5154,11936.94425995242,450256.4596599524
6821101275,98199,34th Avenue West,3629,7,4,478000.0,27439.1421,18274.553833814884,523713.69593381486
6071000310,98006,119th Avenue Southeast,4849,8,5,622000.0,21138.1438,20381.893398984936,663520.0371989849
9133600135,98055,Stevens Avenue Northwest,360,7,3,160000.0,46800.9878,4857.73532897533,211658.72312897534
203101370,98053,West Ames Lake Drive Northeast,3009,7,2,170000.0,44398.0248,5511.560777606391,219909.5855776064
3589500260,98105,Roosevelt Way Northeast,5612,7,5,550000.0,14698.834,16483.483831153284,581182.3178311533
2493200370,98136,41st Avenue Southwest,8445,7,3,415000.0,40299.840000000004,11987.042733052347,467286.88273305236
2914700310,98117,1st Avenue Northwest,9532,7,4,398000.0,19879.0248,11929.3496679422,429808.3744679422
2832100270,98125,Par Place Northeast,13904,7,3,306888.0,50439.1678,9986.733589872563,367313.90138987254
1211000070,98122,26th Avenue,541,8,3,575000.0,71758.90260000002,18655.64703224932,665414.5496322494
4449800681,98117,24th Avenue Northwest,8309,8,4,450000.0,30238.9623,15876.296253251847,496115.25855325186
3211200140,98034,76th Place Northeast,14230,7,3,350000.0,44718.8294,10052.19344981163,404771.0228498116
824059324,98004,Southeast 25th Street,10616,10,3,1450000.0,96719.61600000001,42891.5156104959,1589611.1316104957
3298701070,98106,14th Avenue Southwest,9449,7,3,180000.0,28338.623600000003,5467.0259570417,213805.6495570417
1924059248,98040,East Mercer Way,5001,9,3,870000.0,116998.27160000001,25987.98771090771,1012986.2593109077
5430300171,98115,39th Avenue Northeast,7321,7,3,430000.0,47058.459,12416.13884307641,489474.59784307645
4140900270,98028,58th Avenue Northeast,18555,8,3,160000.0,29639.9726,5297.492749898174,194937.46534989818
8099600160,98033,107th Place Northeast,10805,7,4,488500.0,23938.613400000002,14905.739929636682,527344.3533296367
1311400350,98001,South 290th Street,4206,7,4,235000.0,28979.1939,6778.736880198094,270757.93078019813
1471701200,98059,Southeast 159th Street,20548,7,3,302000.0,86320.0184,10933.674595351378,399253.6929953514
1217000340,98166,12th Avenue Southwest,16439,7,4,185000.0,25758.9486,6607.181234558489,217366.1298345585
7905200230,98116,46th Avenue Southwest,3639,7,5,330000.0,15188.544,18011.68588455573,363200.22988455574
2899200040,98146,9th Avenue Southwest,10448,7,3,242000.0,58238.866,7230.814459692309,307469.6804596923
7663700772,98125,30th Avenue Northeast,14015,7,4,370000.0,28278.485399999998,12489.85231446156,410768.33771446155
8092501400,98042,Southeast 267th Street,17153,7,4,209950.0,32059.2975,7870.293607258097,249879.59110725808
6326000205,98146,28th Avenue Southwest,11810,8,3,290000.0,60838.7654,9927.422878434178,360766.18827843416
13001215,98108,2nd Avenue South,8853,7,4,130000.0,15399.0111,5238.27963207234,150637.29073207235
9238500040,98072,Northeast 202nd Street,15351,7,3,400000.0,77218.97120000001,12093.84916886283,489312.8203688629
3344500085,98056,Jones Avenue Northeast,1617,8,4,383000.0,36118.886099999996,11352.995557935354,430471.88165793533
9310300175,98133,Linden Avenue North,15433,7,3,225000.0,38741.0198,7113.884183050749,270854.9039830508
686800065,98004,110th Avenue Northeast,2602,9,3,667500.0,55378.6968,19154.43571848915,742033.1325184891
1523049207,98168,South 142nd Street,3504,7,3,161000.0,44201.0884,4710.328150177877,209911.41655017788
9144100035,98117,Mary Avenue Northwest,9547,7,3,350000.0,43680.548800000004,12617.009728738902,406297.5585287389
6381500720,98125,22nd Avenue Northeast,14044,7,3,395000.0,58238.866,11507.25863294698,464746.124632947
4073200124,98115,Sand Point Way Northeast,9717,7,3,305000.0,23138.824800000002,8763.359401697084,336902.18420169706
2457200040,98056,Index Court Northeast,841,7,4,280000.0,25338.5235,8130.345918080438,313468.86941808043
9808590210,98004,112th Avenue Northeast,3883,10,3,860000.0,92558.0978,28806.16282310697,981364.260623107
3726800220,98144,Beacon Avenue South,3427,7,3,348000.0,47578.9986,13762.251088984382,409341.24968898436
